year,home_price_index,mortgage_rate,income_median,income_pc_real,permits,home_price_proxy,loan_amount,r_month,mortgage_payment_monthly,income_monthly,PIR,PTI,API,PIR_index,pir_pred_by_rate
2012,111.150179966431,3.6574999999999998,55126.0,49229.0,761.4650154409923,338883.52965997846,271106.82372798276,0.0030479166666666662,1241.3506691837142,4593.833333333333,0.2702210940428214,6.1474355052058645,8.257973617729821e-05,55.2552049413821,0.2962513638647942
2013,120.55905384315484,3.9755769230769227,56212.0,49536.0,1079.2049387332816,367570.0544180375,294056.04353443003,0.003312980769230769,1399.731315478677,4684.333333333333,0.2988112108756871,6.538996200420507,9.675625652592751e-05,61.101353890241406,0.3175017378398131
2014,127.74393025770017,4.168867924528302,57458.0,51779.0,1290.9590166934368,389475.8784146087,311580.702731687,0.0034740566037735846,1518.0269338029361,4788.166666666667,0.31703719596288127,6.778444749462367,0.00010285010784381827,64.82823000558973,0.3304152998395762
2015,130.13987308334558,3.8505769230769227,59590.0,54632.0,1367.720745188065,396780.8199078518,317424.65592628147,0.003208814102564102,1488.2175028868548,4965.833333333333,0.2996913917543591,6.658513507431646,9.172528775569081e-05,61.28133456498769,0.3091506235207307
2016,133.80412649508858,3.6540384615384616,60977.0,54142.0,1552.8105062952811,407952.68782669026,326362.15026135225,0.003045032051282051,1493.7179996005345,5081.416666666667,0.2939570001017829,6.690271542166559,9.030427847615736e-05,60.10875776412906,0.29602010223749653
2017,138.6966865843535,3.9898076923076924,63044.0,54368.0,1699.514386869251,422869.51506551594,338295.61205241276,0.0033248397435897436,1613.0878053750396,5253.666666666667,0.30704037917169713,6.707529900791764,0.00010178286989255494,62.784066271759265,0.3184524800853702
2018,142.45584046792933,4.544615384615384,65063.0,57076.0,1484.5976647233526,434330.7231084173,347464.57848673384,0.003787179487179487,1769.7750447946264,5421.916666666667,0.32641133267041966,6.675540985020938,0.00011342893759528812,66.74506720424857,0.3555185797939128
2019,144.2782108599159,3.935769230769231,69212.0,58750.0,1478.0326919126092,439886.9112402833,351909.52899222664,0.0032798076923076925,1667.0649229742999,5767.666666666667,0.2890362809294862,6.355645137263528,9.665459454857738e-05,59.10256190333828,0.31484222912589
2020,148.4054769182421,3.111698113207547,71243.0,60477.0,1256.1162135517584,452470.4490277509,361976.3592222007,0.0025930817610062894,1547.9992731916925,5936.916666666667,0.26074128375139044,6.351086408878779,7.635845735009344e-05,53.316759453571905,0.259786932247397
2021,164.77193729394034,2.957692307692308,72215.0,62167.0,1529.7948559754675,502369.81816806056,401895.8545344485,0.0024647435897435896,1685.2526377577565,6017.916666666667,0.28003921142550825,6.956585448564157,7.839282761880846e-05,57.2628279585287,0.24949797154611597
2022,183.0083951706769,5.344038461538461,76744.0,59878.0,1433.6575632496133,557970.5847671832,446376.46781374654,0.004453365384615385,2490.970746465151,6395.333333333333,0.3894981882307648,7.270543427071604,0.00016333276037551803,79.64515979488044,0.4089271678314906
2023,192.5996843707885,6.806730769230769,80346.0,62786.0,1181.5366239921184,587213.2719054775,469770.617524382,0.005672275641025641,3064.659471697793,6695.5,0.45771928484770263,7.308556392421247,0.00020880040100512543,93.59510951382197,0.5066480532329379
2024,206.93781684584675,6.721153846153846,83327.0,,1443.0697694975854,630928.5132424468,504742.8105939575,0.005600961538461538,3264.0798426256747,6943.916666666667,0.47006322214298,7.5717176094476795,,96.11921588475553,0.5009307518914123
